n 400 e 7940
d 251 110 21.488167413179635
r [251 317] [66 317] [66 209] [97 209] [97 388] [75 388] [75 329] [110 329] 
p 51 244 89.31400049883143
p 106 254 77.28215057701955
p 90 107 41.99470718861666
p 180 301 70.03411037937819
p 165 348 45.24287437894852
p 25 191 48.87133937445441
p 68 145 41.28639295352753
p 199 298 19.770221099423125
p 0 137 79.88412816398655
p 36 397 99.06824865699352
p 183 250 25.06644970536611
p 90 150 10.36733618296898
p 57 375 36.99831563560675
p 155 211 56.03630022064868
p 161 245 99.42953484016513
p 161 176 10.35740367609705
p 193 379 44.388140143833354
p 34 257 56.733854842800525
p 206 245 3.3130114753606077
p 102 119 23.677613381538354
p 167 249 81.68090160251931
p 15 115 96.71987166745957
p 25 195 47.07232413905676
p 82 244 22.0296578719361
p 93 121 74.77645244212553
p 162 365 39.289422681718605
p 75 108 86.14062591909108
p 35 347 73.89097273764719
p 62 246 65.96734976453337
p 207 355 88.47094067207698
p 160 175 80.68508863340891
p 198 397 66.49931488190492
p 18 56 25.358127043534264
p 136 315 92.99954725841474
p 179 374 31.72097941427243
p 187 352 7.641925848665205
p 193 324 99.23501235697604
p 73 126 36.83002704925279
p 85 318 75.67661431504176
p 19 399 26.009999052125824
p 243 308 82.54938278895183
p 166 273 77.03186796002261
p 285 310 62.5206767070801
p 112 217 87.66002675604763
p 125 379 14.48427083474666
p 133 212 93.33449686844217
p 380 396 69.9012716948553
p 281 308 87.13074796723586
p 41 346 26.97308200658345
p 35 299 39.62374807387162
p 238 398 49.533368564497685
p 4 56 70.40865675045895
p 143 275 71.35118213085354
p 239 272 35.75175121406715
p 283 299 62.61154019590166
p 11 20 95.76597748332411
p 61 283 88.87083498134454
p 140 355 61.95759092500644
p 57 380 26.470202138563636
p 195 371 55.22811125153038
p 252 333 41.201870442943104
p 75 303 32.1581085040649
p 87 314 8.826319567365685
p 3 343 42.564567878529544
p 77 156 79.24780814033626
p 16 262 42.68744014788368
p 288 299 41.55808367189616
p 38 160 10.134047855022402
p 75 228 59.72366306829882
p 164 180 20.795164038444497
p 108 178 17.992684852728097
p 81 177 69.40724576004968
p 362 398 61.3999888441237
p 201 227 26.224603327253046
p 82 133 1.035656294378784
p 96 119 24.987080687342015
p 184 189 60.000492276337354
p 44 191 69.44322047972948
p 64 173 75.17517075455326
p 278 283 44.69070551389524
p 380 391 53.12413623789549
p 111 168 85.79029559835047
p 5 174 26.84902056013301
p 11 387 57.94498506355891
p 294 358 43.97423626762936
p 28 245 45.118424239559396
p 158 166 70.75021001187706
p 14 370 20.871495658809526
p 161 295 57.75537572724762
p 283 383 2.9862470783090145
p 145 190 19.342771579774773
p 213 345 8.811722975993568
p 61 330 46.80105075079439
p 34 186 54.88191522930355
p 82 104 30.420659430188277
p 22 144 63.91779681650368
p 204 257 16.98671154982341
p 39 297 33.00201632484089
p 64 272 2.031913310010802
p 348 362 1.0835647089714957
p 68 110 80.37037326788395
p 90 254 52.52636370401673
p 35 165 31.72406659299275
p 114 141 83.77050924924313
p 103 223 30.034468849062204
p 242 330 27.240820337304445
p 372 378 21.1493030586001
p 96 335 89.95405301008665
p 162 189 66.0935180113653
p 65 283 16.861720381128727
p 207 346 70.11848970316666
p 3 252 26.889631086734415
p 107 339 45.728396190516
p 31 292 74.99484290049288
p 85 313 94.70697943212666
p 16 62 25.967938347045198
p 213 336 42.66909258248882
p 241 296 37.67276488089827
p 6 132 13.027640495278073
p 36 126 19.301007343171552
p 79 220 55.2685458169944
p 59 196 84.43643020604202
p 110 199 90.92698360332771
p 82 268 40.554677882696446
p 59 276 64.6400711113578
p 221 267 25.036524007473055
p 40 117 18.811079084246952
p 138 266 24.80432236743343
p 38 103 58.66269056724302
p 40 308 16.15968486823776
p 323 324 18.444687657775138
p 35 160 97.69707815688169
p 3 348 42.46965646921227
p 197 357 76.72660629312054
p 343 383 63.94989771477478
p 233 339 35.23903573209583
p 181 331 67.8607332179424
p 6 213 35.030552762101614
p 1 362 82.80911314212534
p 181 387 63.638832807749836
p 50 128 74.60984118319719
p 93 136 99.28504425736426
p 205 295 15.432640717696417
p 34 44 28.499553590284112
p 127 398 35.293026637286985
p 183 200 95.336757860215
p 131 197 77.86568327325526
p 242 397 95.30829360914717
p 44 239 51.58939121959043
p 70 287 95.47175752690805
p 296 389 90.83472399627347
p 23 194 76.12892249192194
p 76 352 81.54285539537132
